subject,predicate,old_object,new_object
<https://id.analoggamemuseum.org/api/items/1554>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19117>
<https://id.analoggamemuseum.org/api/items/1555>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19506>
<https://id.analoggamemuseum.org/api/items/1555>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19507>
<https://id.analoggamemuseum.org/api/items/1556>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19124>
<https://id.analoggamemuseum.org/api/items/1556>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19125>
<https://id.analoggamemuseum.org/api/items/1557>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18888>
<https://id.analoggamemuseum.org/api/items/1557>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18889>
<https://id.analoggamemuseum.org/api/items/1558>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19789>
<https://id.analoggamemuseum.org/api/items/1558>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19790>
<https://id.analoggamemuseum.org/api/items/1559>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19741>
<https://id.analoggamemuseum.org/api/items/1559>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19742>
<https://id.analoggamemuseum.org/api/items/1562>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19451>
<https://id.analoggamemuseum.org/api/items/1562>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19452>
<https://id.analoggamemuseum.org/api/items/1563>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19114>
<https://id.analoggamemuseum.org/api/items/1563>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19115>
<https://id.analoggamemuseum.org/api/items/1564>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19122>
<https://id.analoggamemuseum.org/api/items/1564>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19123>
<https://id.analoggamemuseum.org/api/items/1565>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19108>
<https://id.analoggamemuseum.org/api/items/1565>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19109>
<https://id.analoggamemuseum.org/api/items/1566>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19674>
<https://id.analoggamemuseum.org/api/items/1566>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19675>
<https://id.analoggamemuseum.org/api/items/1567>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19104>
<https://id.analoggamemuseum.org/api/items/1567>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19105>
<https://id.analoggamemuseum.org/api/items/1568>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18828>
